id,source_type,source_text,period_start,period_end,timezone,purpose,evidence_quote,claim_kind,modality,status,event_date,date_role,time_basis,decision,annotator,notes
relative_this_week_with_meeting_anchor_02,document,会议时间：2026-08-20。本周 示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
relative_previous_month_with_anchor_02,meeting,会议时间：2026-08-20。上月 示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
conflicting_event_dates_02,chat,记录甲称 2026-08-20 示例项目02 完成验收；记录乙称该事项在 2026-08-25 才完成。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
cumulative_metric_not_period_progress_02,timeline,截至 2026-08-20，示例项目02 累计节省 121 万元。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
actual_metric_in_period_for_metric_section_02,work_memory,统计周期 2026-08-20，示例项目02 当日处理量为 121 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
revision_date_only_for_target_02,data_snapshot,修订日期：2026-08-20。示例项目02 的年度目标是降低处理耗时。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
deadline_in_period_still_pending_02,document,示例项目02 截止日期为 2026-08-21，目前仍在建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
cancelled_status_change_in_period_02,meeting,2026-08-22，团队决定取消 示例项目02。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
blocked_status_change_in_period_02,chat,2026-08-21，示例项目02 因外部依赖进入阻塞状态。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
relative_time_without_anchor_02,timeline,上周 示例项目02 已完成接口验收，但资料没有发布日期或会议日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
hallucinated_quote_02,work_memory,2026-08-20，示例项目02 仍在建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
status_semantic_enhancement_02,data_snapshot,2026-08-20，示例项目02 正在推进接口设计。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
historical_claim_for_background_task_02,document,2025-12-01，示例项目02 完成了首版架构设计。,2026-08-17,2026-08-23,Asia/Shanghai,background,,,,,,,,,,
target_metric_for_metric_section_02,meeting,示例项目02 的年度目标处理量为 121 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
actual_metric_outside_period_02,chat,统计周期 2026-02-06，示例项目02 当日处理量为 121 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
publication_date_not_event_date_02,timeline,发布日期：2026-08-20。示例项目02 当前处于建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
decision_made_in_period_02,work_memory,2026-08-19，团队决定 示例项目02 采用新的缓存策略。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
historical_decision_outside_period_02,data_snapshot,2026-02-05，团队决定 示例项目02 采用新的缓存策略。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
